beit_finetune_0706_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5036764705882353,0.492258771749705,0.010263929618768328,0.4772014461575559,1.0,0.005158437730287398
FFpp2,0.5011029411764706,0.5299992331303025,0.0,0.5448420758967794,0.0,0.0
FFpp3,0.49545949872865963,0.4886882990554971,0.0014378145219266715,0.47621465556828196,1.0,0.0007194244604316547
FFpp4,0.49491648511256353,0.5651313893592568,0.0,0.5735571879386034,0.0,0.0
StyleGAN,0.5,0.47143894042147527,0.0,0.509633,0.0,0.0
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.509,0.8325309048535978,0.03536345776031434,0.8280329999999998,1.0,0.018
DDPM,0.5005,0.7369662688833738,0.001998001998001998,0.7626505,1.0,0.001
LDM,0.501,0.6986299889572696,0.003992015968063872,0.7088110000000001,1.0,0.002
DDIM,0.5025,0.7943772274404757,0.009950248756218905,0.795665,1.0,0.005
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
