beit_freeze0806_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.49411764705882355,0.49531923011369405,0.3932980599647266,0.4985242683382434,0.48957189901207465,0.3286661753868828
FFpp2,0.5257352941176471,0.5268687263139167,0.4519966015293118,0.5319305727590586,0.5336008024072216,0.3920412675018423
FFpp3,0.5361423901198692,0.5509573617792748,0.47513357994245786,0.5596684208026096,0.5541706615532119,0.4158273381294964
FFpp4,0.5032679738562091,0.5117706623963025,0.41638225255972694,0.5107865098608443,0.5120671563483735,0.35082674335010783
StyleGAN,0.6075,0.6429821006447762,0.5307830245068739,0.6637480000000001,0.6597325408618128,0.444
VQGAN,0.82,0.9086572640903826,0.8284080076263107,0.9087620000000002,0.7914389799635702,0.869
PNDM,0.7235,0.8130333621433442,0.7097112860892388,0.798323,0.7469613259668508,0.676
DDPM,0.651,0.7196457649615455,0.6034090909090909,0.7201010000000001,0.6986842105263158,0.531
LDM,0.5965,0.6412742396731504,0.5112053301029679,0.627259,0.6482334869431644,0.422
DDIM,0.7115,0.7995079139070881,0.6932482721956407,0.7831089999999999,0.7400681044267877,0.652
ProGAN,0.8225,0.916165337495059,0.8311935330480267,0.912825,0.7923844061650045,0.874
