bit_empty_0606_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5003676470588235,0.52181587120009,0.0087527352297593,0.5301685615901028,0.42857142857142855,0.004421518054532056
FFpp2,0.5003676470588235,0.47704266176033483,0.0087527352297593,0.47047860851399037,0.42857142857142855,0.004421518054532056
FFpp3,0.49545949872865963,0.47772577926382653,0.01279317697228145,0.4804377774376244,0.5294117647058824,0.006474820143884892
FFpp4,0.49455337690631807,0.5124126928345629,0.00995732574679943,0.5057056341125978,0.4666666666666667,0.0050323508267433505
StyleGAN,0.4985,0.4245395675316076,0.0,0.389827,0.0,0.0
VQGAN,0.9975,0.9999831031948243,0.9975012493753124,0.999983,0.997002997002997,0.998
PNDM,0.507,0.6144185910772986,0.03333333333333333,0.580816,0.85,0.017
DDPM,0.501,0.47135987455331335,0.00992063492063492,0.4386135,0.625,0.005
LDM,0.505,0.5929894300630288,0.025590551181102362,0.5806089999999999,0.8125,0.013
DDIM,0.5095,0.6257764125387721,0.042926829268292686,0.606174,0.88,0.022
ProGAN,0.996,0.999919063037516,0.995995995995996,0.999917,0.996993987975952,0.995
