bit_freeze_0506_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5227941176470589,0.5247409338917373,0.4351610095735422,0.5402497092600471,0.5313496280552603,0.36845983787767134
FFpp2,0.5227941176470589,0.5212724404546962,0.4351610095735422,0.5339188501674154,0.5313496280552603,0.36845983787767134
FFpp3,0.4852887758808572,0.4896274151931419,0.3688195991091314,0.49016003631430877,0.4842105263157895,0.29784172661870506
FFpp4,0.5580973129992738,0.5881631562633605,0.5026563138536984,0.5986685710940207,0.5823863636363636,0.4421279654924515
StyleGAN,0.628,0.7622769533038467,0.46008708272859217,0.7700419999999999,0.8386243386243386,0.317
VQGAN,0.932,0.9828507933751246,0.9315206445115811,0.9833419999999999,0.9381338742393509,0.925
PNDM,0.701,0.8474866190787715,0.6076115485564304,0.851831,0.8835877862595419,0.463
DDPM,0.5395,0.6123472722078983,0.2331390507910075,0.6218319999999999,0.6965174129353234,0.14
LDM,0.723,0.8614700354676854,0.6466836734693877,0.8625579999999999,0.8926056338028169,0.507
DDIM,0.6265,0.7470030363954387,0.4567272727272727,0.741703,0.8373333333333334,0.314
ProGAN,0.9405,0.9854502855089535,0.9405891163255118,0.9860519999999999,0.9391824526420738,0.942
