swin_tiny_blur08_0706_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5011029411764706,0.48168266784442926,0.0,0.4698038647463142,0.0,0.0
FFpp2,0.5011029411764706,0.5141925317354452,0.0,0.5172035331054271,0.0,0.0
FFpp3,0.4950962586269524,0.5058371565993347,0.0,0.49680481586850844,0.0,0.0
FFpp4,0.49491648511256353,0.562084691376842,0.0,0.5465596621821551,0.0,0.0
StyleGAN,0.5395,0.9434640580675608,0.1464318813716404,0.9246319999999999,1.0,0.079
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.5005,0.8110733496761827,0.001998001998001998,0.7683825,1.0,0.001
DDPM,0.5,0.5073861245703231,0.0,0.49588249999999995,0.0,0.0
LDM,0.5395,0.9373803670581886,0.1464318813716404,0.916849,1.0,0.079
DDIM,0.5,0.5981527042834456,0.0,0.5757249999999999,0.0,0.0
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
