swin_tiny_bs128_0706_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.49926470588235294,0.5276823591803956,0.017316017316017316,0.5532747510125211,0.41379310344827586,0.008843036109064112
FFpp2,0.5,0.5518001526904766,0.020172910662824207,0.5723562668719733,0.45161290322580644,0.010316875460574797
FFpp3,0.49182709771158734,0.5227600270853094,0.011307420494699646,0.5363924267775801,0.32,0.0057553956834532375
FFpp4,0.4974582425562818,0.5635170490185825,0.0335195530726257,0.5856578265160214,0.5853658536585366,0.017253774263120056
StyleGAN,0.5235,0.9636517261771019,0.08978032473734479,0.9586890000000001,1.0,0.047
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.5055,0.8956585756430332,0.021760633036597428,0.878696,1.0,0.011
DDPM,0.5,0.693068769024783,0.0,0.7131244999999999,0.0,0.0
LDM,0.601,0.9650161973296286,0.33610648918469216,0.9533400000000001,1.0,0.202
DDIM,0.5,0.719225113723693,0.0,0.719076,0.0,0.0
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
