coatnet_empty_0706_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5018382352941176,0.5105086095798135,0.08384043272481406,0.5061683907415206,0.5081967213114754,0.045689019896831246
FFpp2,0.5073529411764706,0.5379573958289511,0.10307898259705489,0.5437164216305118,0.5620437956204379,0.056742815033161385
FFpp3,0.49073737740646567,0.4937664557628734,0.06408544726301736,0.4814263922684303,0.4444444444444444,0.034532374100719423
FFpp4,0.5058097312999273,0.5627160559343065,0.11680726800778715,0.5631232749258543,0.6,0.06470165348670022
StyleGAN,0.5165,0.6490511328079639,0.06570048309178744,0.605727,0.9714285714285714,0.034
VQGAN,0.998,0.999996002991015,0.997997997997998,0.999996,0.998997995991984,0.997
PNDM,0.6105,0.9075343981655087,0.3630417007358953,0.8870975000000001,0.9955156950672646,0.222
DDPM,0.561,0.8485261591313699,0.2188612099644128,0.826466,0.9919354838709677,0.123
LDM,0.5195,0.7061665940143335,0.07684918347742556,0.6752384999999999,0.975609756097561,0.04
DDIM,0.6135,0.8953368822709504,0.371033360455655,0.8701595,0.9956331877729258,0.228
ProGAN,0.998,0.999994005990018,0.997997997997998,0.999994,0.998997995991984,0.997
