coatnet_finetune_0706_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5080882352941176,0.5139677866384431,0.04971590909090909,0.5026451793937147,0.6862745098039216,0.025792188651436992
FFpp2,0.5014705882352941,0.5245844990262253,0.02446043165467626,0.5488875648724502,0.5151515151515151,0.012527634487840826
FFpp3,0.502361060661097,0.547843170626793,0.049930651872399444,0.557110848371926,0.6923076923076923,0.025899280575539568
FFpp4,0.49963689179375453,0.5563326446423233,0.0403899721448468,0.5616730654511526,0.6444444444444445,0.020848310567936738
StyleGAN,0.5,0.6534819629484325,0.0,0.745351,0.0,0.0
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.5065,0.8667971522032396,0.02566633761105627,0.8492014999999999,1.0,0.013
DDPM,0.5015,0.7075468274421529,0.005982053838484547,0.681243,1.0,0.003
LDM,0.5005,0.6697156956066086,0.001998001998001998,0.6857099999999999,1.0,0.001
DDIM,0.504,0.8221422852506634,0.015873015873015872,0.8115399999999999,1.0,0.008
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
