coatnet_freeze_0706_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5297794117647059,0.5515160554288902,0.27288231949971575,0.5728369136744286,0.5970149253731343,0.17686072218128224
FFpp2,0.5191176470588236,0.534739635062506,0.24393063583815028,0.5452294588371158,0.5656836461126006,0.15549005158437731
FFpp3,0.5052669814747548,0.5149275493375083,0.21814006888633755,0.5196799273713824,0.5397727272727273,0.1366906474820144
FFpp4,0.5137981118373275,0.5350745495931961,0.2422184493491794,0.5487556786025667,0.5691489361702128,0.15384615384615385
StyleGAN,0.7125,0.8511112036004278,0.627349319507453,0.8615309999999999,0.8913443830570903,0.484
VQGAN,0.9565,0.9918904681369175,0.9571639586410635,0.992632,0.9427740058195926,0.972
PNDM,0.641,0.798975421619241,0.48714285714285716,0.8196510000000001,0.8525,0.341
DDPM,0.5445,0.6667266887496981,0.2452361226180613,0.695381,0.714975845410628,0.148
LDM,0.651,0.8032266894738223,0.5084507042253521,0.811251,0.8595238095238096,0.361
DDIM,0.6305,0.7809724135775404,0.46410442349528647,0.792319,0.8443271767810027,0.32
ProGAN,0.962,0.9936067598780212,0.9627815866797258,0.994244,0.9433781190019194,0.983
