swin_tiny_compr01blur01_0906_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5011029411764706,0.4988184891379799,0.0,0.49363832328336377,0.0,0.0
FFpp2,0.5011029411764706,0.5424067960241437,0.0,0.5360763541777614,0.0,0.0
FFpp3,0.4950962586269524,0.5440156097161368,0.0,0.5284022231957648,0.0,0.0
FFpp4,0.49491648511256353,0.5509771591981525,0.0,0.5504788407607231,0.0,0.0
StyleGAN,0.5,0.6851334475520053,0.0,0.678482,0.0,0.0
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.504,0.912249922143397,0.015873015873015872,0.900468,1.0,0.008
DDPM,0.5,0.8243853204936233,0.0,0.815497,0.0,0.0
LDM,0.5035,0.7951725899567743,0.013902681231380337,0.7671135,1.0,0.007
DDIM,0.5015,0.8930712748291507,0.005982053838484547,0.8817510000000001,1.0,0.003
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
