swin_tiny_compr10_0706_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5040441176470588,0.5387185904418987,0.023171614771904415,0.5417673420772484,0.6666666666666666,0.011790714812085483
FFpp2,0.5011029411764706,0.5393441493346846,0.011653313911143482,0.5473885848276727,0.5,0.0058953574060427415
FFpp3,0.49436977842353796,0.5111997241279929,0.008547008547008548,0.5037285505418115,0.42857142857142855,0.004316546762589928
FFpp4,0.49564270152505446,0.5807870598371696,0.014194464158977998,0.5875023009779354,0.5555555555555556,0.007189072609633357
StyleGAN,0.5,0.4738580341652623,0.0,0.479372,0.0,0.0
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.5,0.707255167032369,0.0,0.7215035,0.0,0.0
DDPM,0.5,0.6798675925175284,0.0,0.698178,0.0,0.0
LDM,0.5005,0.7297205306065768,0.001998001998001998,0.729796,1.0,0.001
DDIM,0.5005,0.7158503759546828,0.001998001998001998,0.7288230000000001,1.0,0.001
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
