convnext_empty_0706_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5018382352941176,0.5245947052598653,0.1218405703175632,0.5457455188741728,0.5053763440860215,0.06927044952100221
FFpp2,0.49264705882352944,0.4930862288781003,0.09090909090909091,0.5046104787490855,0.42857142857142855,0.05084745762711865
FFpp3,0.4823828550671994,0.4907610761311643,0.07407407407407407,0.49291105633468274,0.3825503355704698,0.04100719424460432
FFpp4,0.4941902687000726,0.5163897307699743,0.11443102352193261,0.5236951938702475,0.4945054945054945,0.06470165348670022
StyleGAN,0.499,0.4016907549964247,0.0,0.366779,0.0,0.0
VQGAN,0.9985,0.9999960059900179,0.9985007496251874,0.999996,0.998001998001998,0.999
PNDM,0.4995,0.7004757090991998,0.0019940179461615153,0.7203815000000001,0.3333333333333333,0.001
DDPM,0.499,0.5333194273435514,0.0,0.5471874999999999,0.0,0.0
LDM,0.5025,0.6957381179418253,0.013875123885034688,0.705122,0.7777777777777778,0.007
DDIM,0.5005,0.6857488985290081,0.005970149253731343,0.6979505,0.6,0.003
ProGAN,0.999,0.999999000999001,0.999000999000999,0.999999,0.998003992015968,1.0
