convnext_finetune_0706_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5011029411764706,0.554591969976556,0.0,0.5711368080835169,0.0,0.0
FFpp2,0.5011029411764706,0.5867898872016785,0.0,0.6058515098743451,0.0,0.0
FFpp3,0.4950962586269524,0.5640027830349085,0.0,0.570938524308946,0.0,0.0
FFpp4,0.49491648511256353,0.5882146209433243,0.0,0.5978109458509346,0.0,0.0
StyleGAN,0.5,0.8806962043869059,0.0,0.896707,0.0,0.0
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.999,1.0,0.998998998998999,1.0,1.0,0.998
DDPM,0.994,1.0,0.993963782696177,1.0,1.0,0.988
LDM,0.976,1.0,0.9754098360655737,1.0,1.0,0.952
DDIM,1.0,1.0,1.0,1.0,1.0,1.0
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
