convnext_freeze_0706_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.4875,0.48435403343501693,0.36693914623069934,0.49436226711743303,0.47810650887573963,0.29771554900515845
FFpp2,0.5117647058823529,0.5156324276108869,0.4144620811287478,0.5230226574415642,0.5159165751920965,0.34635224760501104
FFpp3,0.500908100254268,0.5102493836111439,0.3994755244755245,0.5039037881946827,0.5089086859688196,0.32877697841726616
FFpp4,0.5250544662309368,0.5448424312392846,0.44482173174872663,0.5642609733571808,0.5430051813471503,0.3767074047447879
StyleGAN,0.6955,0.9127406810361193,0.5738278516445067,0.9235129999999999,0.9557109557109557,0.41
VQGAN,0.988,0.9992273727228778,0.9880834160873883,0.999255,0.9812623274161736,0.995
PNDM,0.6255,0.8458976781553165,0.4189294026377037,0.848166,0.9342560553633218,0.27
DDPM,0.5175,0.6571076640249078,0.10065237651444547,0.691992,0.7397260273972602,0.054
LDM,0.8065,0.9551750998658006,0.7655966081162932,0.9571829999999998,0.9708141321044547,0.632
DDIM,0.543,0.7220626110287582,0.18683274021352314,0.739333,0.8467741935483871,0.105
ProGAN,0.99,0.9994948526889127,0.9900891972249752,0.999508,0.981335952848723,0.999
