deit_base_empty_0606_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5044117647058823,0.4999939932427568,0.018922852983988356,0.496191049805065,0.7647058823529411,0.009579955784819455
FFpp2,0.49963235294117647,0.4874262879733088,0.0,0.49215042677002646,0.0,0.0
FFpp3,0.4947330185252452,0.4976643084226349,0.004294917680744453,0.4910037633869427,0.42857142857142855,0.002158273381294964
FFpp4,0.49564270152505446,0.49777858290219645,0.008565310492505354,0.49112600498013376,0.6,0.004313443565780014
StyleGAN,0.498,0.3850488533330294,0.0,0.317883,0.0,0.0
VQGAN,0.996,0.9999408148376463,0.996,0.999941,0.996,0.996
PNDM,0.5275,0.6840116256449185,0.11100658513640639,0.6488630000000001,0.9365079365079365,0.059
DDPM,0.5,0.5332652011667585,0.007936507936507936,0.5171920000000001,0.5,0.004
LDM,0.5055,0.5585528278818935,0.029440628066732092,0.531374,0.7894736842105263,0.015
DDIM,0.521,0.6640327399669277,0.08761904761904762,0.6216435,0.92,0.046
ProGAN,0.994,0.9998378336947484,0.9939879759519038,0.9998365,0.9959839357429718,0.992
