deit_base_finetune2805_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5011029411764706,0.5282973549685375,0.0,0.5298538974292155,0.0,0.0
FFpp2,0.5011029411764706,0.5028472373824211,0.0,0.5163430726036189,0.0,0.0
FFpp3,0.4950962586269524,0.4920628496006063,0.0,0.4808515916540429,0.0,0.0
FFpp4,0.49491648511256353,0.5465343392179652,0.0,0.5562461859147976,0.0,0.0
StyleGAN,0.5005,0.7293603523054861,0.001998001998001998,0.736407,1.0,0.001
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.5,0.6345469873094084,0.0,0.604445,0.0,0.0
DDPM,0.5005,0.5672659603395792,0.001998001998001998,0.5563024999999999,1.0,0.001
LDM,0.501,0.7409515429732059,0.003992015968063872,0.713861,1.0,0.002
DDIM,0.5005,0.6017044463280521,0.001998001998001998,0.562991,1.0,0.001
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
