deit_base_freeze_0606_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.4988970588235294,0.5205988903491003,0.004382761139517896,0.54185601032877,0.25,0.002210759027266028
FFpp2,0.5036764705882353,0.5294390907813672,0.023154848046309694,0.5345073586538862,0.64,0.011790714812085483
FFpp3,0.49691245913548854,0.5338998555529804,0.019815994338287332,0.539321851396359,0.6086956521739131,0.010071942446043165
FFpp4,0.4963689179375454,0.5624149021517042,0.01840056617126681,0.5679557241737972,0.5909090909090909,0.009345794392523364
StyleGAN,0.5315,0.7381728845951215,0.14585232452142205,0.765688,0.8247422680412371,0.08
VQGAN,0.984,0.9979706851454279,0.984015984015984,0.998293,0.9830339321357285,0.985
PNDM,0.5795,0.7828413661954767,0.2950544844928751,0.7819139999999999,0.9119170984455959,0.176
DDPM,0.511,0.5718613115942465,0.07386363636363637,0.5767359999999999,0.6964285714285714,0.039
LDM,0.685,0.8956919123428589,0.5512820512820513,0.8923930000000001,0.9579207920792079,0.387
DDIM,0.555,0.7345241217654516,0.22202797202797203,0.738746,0.8819444444444444,0.127
ProGAN,0.9845,0.99823303586523,0.9845232151772342,0.9985280000000001,0.9830508474576272,0.986
