efficient_b0_blur_LDM model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5,0.5293335416963331,0.002932551319648094,0.5535426480773318,0.2857142857142857,0.0014738393515106854
FFpp2,0.49926470588235294,0.44527881294667454,0.0,0.43990752550158385,0.0,0.0
FFpp3,0.4932800581184163,0.4661234512507354,0.0,0.45587811482288854,0.0,0.0
FFpp4,0.49455337690631807,0.45899484197529605,0.005714285714285714,0.4610012590107351,0.4444444444444444,0.002875629043853343
StyleGAN,0.5015,0.8037091751635798,0.005982053838484547,0.7667979999999999,1.0,0.003
VQGAN,0.5,0.5240158959286927,0.0,0.5371205000000001,0.0,0.0
PNDM,0.5,0.8063893010629972,0.0,0.7787455000000001,0.0,0.0
DDPM,0.5,0.7468249257694979,0.0,0.7175645,0.0,0.0
LDM,1.0,1.0,1.0,1.0,1.0,1.0
DDIM,0.501,0.8666128126116113,0.003992015968063872,0.8410575,1.0,0.002
ProGAN,0.5,0.5238228742728914,0.0,0.549989,0.0,0.0
