efficient_b0_compr_LDM model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5231617647058824,0.5318313096432079,0.6066120715802245,0.5411907281123232,0.5154639175257731,0.7369196757553427
FFpp2,0.47205882352941175,0.44738641022437864,0.545281823939202,0.4426635402097004,0.47806774014436426,0.63448784082535
FFpp3,0.48129313476207775,0.4733001228502184,0.5581683168316832,0.4607916308186026,0.48968512486427795,0.6489208633093525
FFpp4,0.4713144517066086,0.4399905853634384,0.5458515283842795,0.42493959438440077,0.4820936639118457,0.6290438533429188
StyleGAN,0.5005,0.7009645550848181,0.001998001998001998,0.6807705,1.0,0.001
VQGAN,0.5,0.5581764377667707,0.0,0.6001065,0.0,0.0
PNDM,0.7945,0.996368079572657,0.7413467589679044,0.9955470000000001,1.0,0.589
DDPM,0.994,0.999996002991015,0.993963782696177,0.999996,1.0,0.988
LDM,1.0,1.0,1.0,1.0,1.0,1.0
DDIM,0.98,0.9999690606293721,0.9795918367346939,0.999969,1.0,0.96
ProGAN,0.5,0.5661109632907932,0.0,0.6049805,0.0,0.0
