efficient_b0_normal_LDM model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5003676470588235,0.5235119058006896,0.023005032350826744,0.5433839156873059,0.47058823529411764,0.011790714812085483
FFpp2,0.4970588235294118,0.4624375995015339,0.010130246020260492,0.4684408607092054,0.28,0.005158437730287398
FFpp3,0.49182709771158734,0.4927857995963559,0.012702893436838392,0.4724314752160121,0.3333333333333333,0.006474820143884892
FFpp4,0.4923747276688453,0.44202837421747676,0.015492957746478873,0.43404012694541416,0.3793103448275862,0.007907979870596693
StyleGAN,0.501,0.8739469024230185,0.003992015968063872,0.8727090000000001,1.0,0.002
VQGAN,0.5,0.5960523414446498,0.0,0.631832,0.0,0.0
PNDM,0.502,0.8570560865650582,0.00796812749003984,0.848961,1.0,0.004
DDPM,0.5005,0.8296656207289361,0.001998001998001998,0.8232869999999999,1.0,0.001
LDM,1.0,1.0,1.0,1.0,1.0,1.0
DDIM,0.503,0.9048939069980216,0.011928429423459244,0.895424,1.0,0.006
ProGAN,0.5,0.580581451959644,0.0,0.6186850000000002,0.0,0.0
