efficient_b0_finetune_0506_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5011029411764706,0.5272676891665857,0.0,0.5478248975043671,0.0,0.0
FFpp2,0.5014705882352941,0.5457420791402066,0.0014727540500736377,0.5729007115627185,1.0,0.0007369196757553427
FFpp3,0.49582273883036687,0.6021318019085444,0.0028735632183908046,0.6118053173015513,1.0,0.0014388489208633094
FFpp4,0.4963689179375454,0.584177038860193,0.005734767025089606,0.5984604941208365,1.0,0.002875629043853343
StyleGAN,0.5,0.7434362234934921,0.0,0.746236,0.0,0.0
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.5005,0.6032855400368906,0.001998001998001998,0.598584,1.0,0.001
DDPM,0.5,0.5244509337173664,0.0,0.555713,0.0,0.0
LDM,0.5005,0.5222799300017889,0.001998001998001998,0.519738,1.0,0.001
DDIM,0.5,0.49199517337738996,0.0,0.509251,0.0,0.0
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
