efficient_b4_empty_0606_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5095588235294117,0.5361156915964371,0.12810457516339868,0.5375593847504664,0.5664739884393064,0.07221812822402358
FFpp2,0.5044117647058823,0.512615429291854,0.11081794195250659,0.5255978213561809,0.5283018867924528,0.06190125276344879
FFpp3,0.48928441699963676,0.4976602929036711,0.07742782152230972,0.5069419446101227,0.44029850746268656,0.04244604316546763
FFpp4,0.5021786492374728,0.5339263445898298,0.12171684817424727,0.5369857479140876,0.5588235294117647,0.0682961897915169
StyleGAN,0.4975,0.49807828436298934,0.0,0.5225839999999999,0.0,0.0
VQGAN,0.997,0.9994895264028492,0.9970059880239521,0.998991,0.9950199203187251,0.999
PNDM,0.51,0.7538054756796991,0.04854368932038835,0.7456745,0.8333333333333334,0.025
DDPM,0.507,0.6867498283506586,0.037109375,0.681674,0.7916666666666666,0.019
LDM,0.5075,0.6058822521988464,0.03902439024390244,0.568782,0.8,0.02
DDIM,0.5145,0.7569138842183207,0.06544754571703561,0.750904,0.8717948717948718,0.034
ProGAN,0.9965,0.9999590392615318,0.9965052421367948,0.999959,0.9950149551345963,0.998
