efficient_b4_finetune0506_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5033088235294118,0.5020793670508791,0.014587892049598834,0.502428374705543,0.7142857142857143,0.007369196757553427
FFpp2,0.5033088235294118,0.5537253242437463,0.014587892049598834,0.5650881735475572,0.7142857142857143,0.007369196757553427
FFpp3,0.49945513984743917,0.611949971270899,0.02269503546099291,0.6089899027219897,0.8,0.011510791366906475
FFpp4,0.4963689179375454,0.5630012084259414,0.011404133998574484,0.5695438604634235,0.6666666666666666,0.005751258087706686
StyleGAN,0.523,0.9885823888540597,0.08795411089866156,0.989853,1.0,0.046
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.512,0.9420014428800588,0.046875,0.941698,1.0,0.024
DDPM,0.5,0.6114428924606301,0.0,0.664569,0.0,0.0
LDM,0.5165,0.9273771830757616,0.06389157792836399,0.924902,1.0,0.033
DDIM,0.5,0.7182400948990025,0.0,0.753179,0.0,0.0
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
