efficient_b4_freeze_0506_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5102941176470588,0.5163375996084412,0.2264808362369338,0.5149278948697307,0.5342465753424658,0.14369933677229182
FFpp2,0.524264705882353,0.5400374162636985,0.26477272727272727,0.5471409625154967,0.5781637717121588,0.17170228445099484
FFpp3,0.5019978205593898,0.5208629722139922,0.21612349914236706,0.5178958813873333,0.5264623955431755,0.13597122302158274
FFpp4,0.5003631082062454,0.5167108745213684,0.21191294387170675,0.5196111887920091,0.5211267605633803,0.13299784327821712
StyleGAN,0.681,0.7887596092853024,0.5967130214917825,0.817835,0.8109965635738832,0.472
VQGAN,0.9255,0.9815882605309232,0.9280540801545147,0.9811380000000002,0.8972922502334267,0.961
PNDM,0.6055,0.6932670008587349,0.44863731656184486,0.713821,0.7447795823665894,0.321
DDPM,0.502,0.5176536599561303,0.18627450980392157,0.539317,0.5089285714285714,0.114
LDM,0.598,0.6797539282476734,0.4322033898305085,0.696631,0.7355769230769231,0.306
DDIM,0.556,0.6065536402126185,0.3333333333333333,0.6267544999999999,0.6686746987951807,0.222
ProGAN,0.931,0.9839631779494272,0.9337175792507204,0.9835300000000001,0.8983364140480592,0.972
