regnet_empty0706_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5165441176470589,0.5475341485657569,0.20926037282020446,0.564483715589014,0.5686274509803921,0.12822402358142962
FFpp2,0.4933823529411765,0.501495446842761,0.13875,0.5089492758128689,0.4567901234567901,0.08179808400884303
FFpp3,0.48492553577915004,0.5120073030099861,0.12792127921279212,0.5192128029051447,0.4406779661016949,0.07482014388489208
FFpp4,0.48838053740014525,0.5107071108050649,0.13927916921197311,0.5166092367188081,0.4634146341463415,0.08195542774982027
StyleGAN,0.5,0.4715582957267137,0.04030710172744722,0.46960100000000005,0.5,0.021
VQGAN,0.9805,0.9982591289542698,0.9805292061907139,0.9981760000000001,0.9790628115653041,0.982
PNDM,0.6245,0.8281919116582508,0.418280402788536,0.827156,0.9278350515463918,0.27
DDPM,0.5455,0.6883262178421428,0.1977052074139453,0.691746,0.8421052631578947,0.112
LDM,0.532,0.6606256193396176,0.15370705244122965,0.671481,0.8018867924528302,0.085
DDIM,0.6135,0.8086800258791332,0.3908589440504334,0.8075939999999999,0.9219330855018587,0.248
ProGAN,0.9825,0.9987398724748288,0.9825610363726955,0.9987295,0.9791459781529295,0.986
