regnet_finetune0706_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5011029411764706,0.5192802455816283,0.0029390154298310064,0.5206286146504822,0.5,0.0014738393515106854
FFpp2,0.5018382352941176,0.5669509818460675,0.00586940572267058,0.5579038825340306,0.6666666666666666,0.0029476787030213707
FFpp3,0.49800217944061026,0.5565704673813673,0.014265335235378032,0.528098724248774,0.8333333333333334,0.007194244604316547
FFpp4,0.5010893246187363,0.6129896385528485,0.026912181303116147,0.5902357836484728,0.9047619047619048,0.013659237958303379
StyleGAN,0.502,0.85194269993155,0.00796812749003984,0.844474,1.0,0.004
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.5155,0.6939526710493361,0.06013579049466537,0.6086334999999999,1.0,0.031
DDPM,0.5,0.4886788389619742,0.0,0.49993899999999997,0.0,0.0
LDM,0.5015,0.561864489374146,0.005982053838484547,0.5201945,1.0,0.003
DDIM,0.5,0.4860695303232396,0.0,0.4774415,0.0,0.0
ProGAN,0.9995,0.999999000999001,0.9994997498749375,0.9999990000000001,1.0,0.999
