regnet_freeze0706_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.49779411764705883,0.502288382158662,0.37852593266606005,0.515455579098298,0.4946492271105826,0.30655858511422257
FFpp2,0.4963235294117647,0.4941891063536106,0.37556973564266183,0.49388270163511827,0.4922341696535245,0.3036109064112012
FFpp3,0.5303305484925536,0.5567125565575495,0.4467265725288832,0.5425619005895796,0.5512143611404435,0.37553956834532376
FFpp4,0.5039941902687001,0.5117650183551798,0.3971756398940865,0.5084056240384022,0.5142857142857142,0.3235082674335011
StyleGAN,0.6165,0.7201629710632469,0.4517512508934953,0.737004,0.7919799498746867,0.316
VQGAN,0.9225,0.9769697251483929,0.922923918448533,0.975662,0.9179030662710188,0.928
PNDM,0.723,0.832838754798488,0.6563275434243176,0.8226450000000001,0.8643790849673203,0.529
DDPM,0.525,0.5543973022773427,0.21875,0.5578845,0.6157407407407407,0.133
LDM,0.5725,0.653139198741451,0.34782608695652173,0.642975,0.7331189710610932,0.228
DDIM,0.6095,0.715615187205142,0.43610108303249095,0.7186750000000001,0.7844155844155845,0.302
ProGAN,0.9225,0.9797089107554636,0.922923918448533,0.979074,0.9179030662710188,0.928
