res50_empty_0306_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5044117647058823,0.5379227789689854,0.12010443864229765,0.5547307485817135,0.5257142857142857,0.06779661016949153
FFpp2,0.5073529411764706,0.546200205487591,0.12987012987012986,0.5605493322577801,0.546448087431694,0.07369196757553427
FFpp3,0.4885579367962223,0.4894162256599991,0.08452535760728218,0.4863409639126557,0.4391891891891892,0.046762589928057555
FFpp4,0.5058097312999273,0.5574304511786421,0.14240705734089476,0.5629149342302708,0.576530612244898,0.08123652048885693
StyleGAN,0.497,0.4608364888554728,0.0039603960396039604,0.46686399999999995,0.2,0.002
VQGAN,0.9915,0.9996800821053011,0.991495747873937,0.999683,0.991991991991992,0.991
PNDM,0.538,0.7621383602232682,0.15384615384615385,0.7638280000000001,0.9130434782608695,0.084
DDPM,0.5175,0.6629996260642156,0.0818268315889629,0.668397,0.8431372549019608,0.043
LDM,0.519,0.6681990629812493,0.0872865275142315,0.680893,0.8518518518518519,0.046
DDIM,0.5435,0.7665500904002175,0.17225747960108795,0.767078,0.9223300970873787,0.095
ProGAN,0.9925,0.999622844212449,0.992503748125937,0.99963,0.9920079920079921,0.993
