res50_finetune_0306_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5011029411764706,0.5824234895748311,0.0,0.586057133712264,0.0,0.0
FFpp2,0.5011029411764706,0.5346332655043216,0.0,0.5222089640358328,0.0,0.0
FFpp3,0.4950962586269524,0.5026320382200884,0.0,0.48673577645587124,0.0,0.0
FFpp4,0.49491648511256353,0.5558470921915231,0.0,0.550479895650321,0.0,0.0
StyleGAN,0.5025,0.818818635680241,0.009950248756218905,0.7920005,1.0,0.005
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.5,0.6889762627379282,0.0,0.6816909999999999,0.0,0.0
DDPM,0.5,0.5388534779142249,0.0,0.5424155,0.0,0.0
LDM,0.5085,0.8473141412309195,0.03343166175024582,0.820792,1.0,0.017
DDIM,0.5,0.6227531301250373,0.0,0.617477,0.0,0.0
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
