res50_freeze_0306_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5080882352941176,0.5208541723943803,0.09838274932614555,0.5223741356872953,0.5748031496062992,0.05379513633014001
FFpp2,0.5025735294117647,0.5083881186943198,0.07896528250510551,0.5203507153743719,0.5178571428571429,0.04274134119380987
FFpp3,0.5078096621867054,0.5409557052710865,0.11611219830397912,0.5346685527586734,0.6223776223776224,0.06402877697841726
FFpp4,0.5021786492374728,0.5245809605887614,0.09743252139565503,0.5247922790520552,0.578125,0.053199137311286844
StyleGAN,0.707,0.9008233894675453,0.6040540540540541,0.9098149999999999,0.93125,0.447
VQGAN,0.974,0.9978456485187495,0.974180734856008,0.9978579999999999,0.9674556213017751,0.981
PNDM,0.5315,0.6686068007497048,0.17006200177147918,0.699128,0.7441860465116279,0.096
DDPM,0.495,0.544793230647358,0.043560606060606064,0.5979410000000001,0.4107142857142857,0.023
LDM,0.635,0.8293044108299314,0.4535928143712575,0.8359430000000001,0.9017857142857143,0.303
DDIM,0.5045,0.5778856258948522,0.07813953488372093,0.623812,0.56,0.042
ProGAN,0.9745,0.9977368921258415,0.9746898263027295,0.997615,0.967487684729064,0.982
