resnext_empty_0606_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5426470588235294,0.6074103918660937,0.29717514124293787,0.623131276049678,0.6368038740920097,0.19380987472365513
FFpp2,0.5,0.5216720599511016,0.1777509068923821,0.5352886124554023,0.494949494949495,0.10832719233603537
FFpp3,0.49691245913548854,0.5194654250475725,0.18289085545722714,0.5293665581108115,0.5081967213114754,0.11151079136690648
FFpp4,0.5050835148874364,0.5362040550448567,0.20709714950552646,0.5406488520427674,0.5426829268292683,0.12796549245147376
StyleGAN,0.4975,0.5142369244728224,0.04194470924690181,0.541768,0.4489795918367347,0.022
VQGAN,0.97,0.9964859833181239,0.9699097291875627,0.996349,0.9728370221327968,0.967
PNDM,0.643,0.8659548486671851,0.4671641791044776,0.902866,0.9205882352941176,0.313
DDPM,0.5725,0.7852117087920096,0.28690575479566305,0.821519,0.864321608040201,0.172
LDM,0.529,0.683049511672562,0.1528776978417266,0.720739,0.7589285714285714,0.085
DDIM,0.6635,0.8720359319580683,0.5126719768283853,0.9022169999999998,0.9291338582677166,0.354
ProGAN,0.967,0.9963573816350833,0.9668008048289738,0.9962340000000001,0.9726720647773279,0.961
