resnext_finetune_0706_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5011029411764706,0.4954190404002381,0.0,0.4916784305286953,0.0,0.0
FFpp2,0.5014705882352941,0.5480789962062419,0.0014727540500736377,0.5569750285333352,1.0,0.0007369196757553427
FFpp3,0.49545949872865963,0.5087929646857872,0.0014378145219266715,0.49962339739360384,1.0,0.0007194244604316547
FFpp4,0.495279593318809,0.5713552247655853,0.0014367816091954023,0.5828839943183646,1.0,0.0007189072609633358
StyleGAN,0.5,0.6025504372583569,0.0,0.6294649999999999,0.0,0.0
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.5,0.576695689179842,0.0,0.59193,0.0,0.0
DDPM,0.5,0.5150556198457645,0.0,0.529366,0.0,0.0
LDM,0.5,0.587326605559193,0.0,0.566515,0.0,0.0
DDIM,0.5,0.49091269494031126,0.0,0.509697,0.0,0.0
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
