resnext_freeze_0606_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5198529411764706,0.5433443179389057,0.2170263788968825,0.562710350558583,0.5819935691318328,0.13338246131171702
FFpp2,0.5172794117647059,0.5423231855058294,0.2095123419626731,0.5583585776531136,0.5723684210526315,0.12822402358142962
FFpp3,0.5194333454413367,0.5489577841719898,0.2294700058241118,0.5476625302839166,0.6024464831804281,0.14172661870503597
FFpp4,0.5275962236746551,0.5702987935832051,0.2527283170591614,0.5795985406657302,0.6285714285714286,0.15815959741193386
StyleGAN,0.5555,0.7394730385016631,0.26101413133832085,0.7931839999999999,0.7733990147783252,0.157
VQGAN,0.962,0.9946929933253593,0.9623015873015873,0.9947360000000001,0.9547244094488189,0.97
PNDM,0.5885,0.7307957850072206,0.35145784081954295,0.7324540000000002,0.828996282527881,0.223
DDPM,0.5195,0.6001402272391944,0.15030946065428824,0.6220260000000001,0.648854961832061,0.085
LDM,0.5845,0.7364926592385175,0.34099920697858843,0.7400319999999999,0.8237547892720306,0.215
DDIM,0.5635,0.7069143390315071,0.2838392124692371,0.7147805,0.7899543378995434,0.173
ProGAN,0.9615,0.9941907150440715,0.961786600496278,0.993965,0.954679802955665,0.969
