swin_tiny_empty_0606_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5011029411764706,0.5146642516872914,0.0,0.5208091951139469,0.0,0.0
FFpp2,0.5014705882352941,0.4806809598203232,0.0014727540500736377,0.47443002263743717,1.0,0.0007369196757553427
FFpp3,0.49545949872865963,0.4975392550714565,0.0014378145219266715,0.4874480752888518,1.0,0.0007194244604316547
FFpp4,0.49491648511256353,0.48214251511858863,0.0,0.4755394837264819,0.0,0.0
StyleGAN,0.499,0.4505107855130245,0.0,0.457074,0.0,0.0
VQGAN,0.9985,0.999998003992016,0.9985007496251874,0.999998,0.998001998001998,0.999
PNDM,0.502,0.7270694355136083,0.011904761904761904,0.7333455,0.75,0.006
DDPM,0.499,0.5158401669662428,0.0,0.5354230000000001,0.0,0.0
LDM,0.5005,0.5716877719700085,0.005970149253731343,0.566257,0.6,0.003
DDIM,0.499,0.6993762972644455,0.0,0.7046125,0.0,0.0
ProGAN,0.999,0.9999980009990009,0.999000999000999,0.999998,0.998003992015968,1.0
