swin_tiny_freeze_0606_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5128676470588235,0.5478853803763439,0.15227127319257838,0.5563651639740894,0.5776699029126213,0.08769344141488578
FFpp2,0.5227941176470589,0.5616638606968145,0.18364779874213835,0.5627779330673647,0.6266094420600858,0.10759027266028003
FFpp3,0.5059934616781693,0.5443150103449463,0.1468005018820577,0.5422312186934238,0.5735294117647058,0.0841726618705036
FFpp4,0.5206971677559913,0.5704284958242701,0.19315403422982885,0.5728730920343704,0.6448979591836734,0.11358734723220705
StyleGAN,0.7475,0.8512860704724239,0.6988670244484197,0.8612570000000002,0.8655834564254062,0.586
VQGAN,0.9525,0.9965966817053586,0.9544801149976042,0.9969600000000001,0.9162833486660533,0.996
PNDM,0.5775,0.6567878651007897,0.3679880329094989,0.655402,0.7299703264094956,0.246
DDPM,0.4695,0.4107721459888187,0.05352363960749331,0.37877,0.24793388429752067,0.03
LDM,0.8855,0.9555877195265081,0.8827444956477215,0.956467,0.9045120671563484,0.862
DDIM,0.518,0.536603287543343,0.20853858784893267,0.53311,0.5825688073394495,0.127
ProGAN,0.9525,0.9965341100472287,0.9544801149976042,0.996829,0.9162833486660533,0.996
