swin_tiny_0106_FFpp2 model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.525,0.788606930063572,0.09396914446002805,0.7969475413753635,0.9710144927536232,0.04937361827560796
FFpp2,0.9889705882352942,0.9969532521841273,0.9888392857142857,0.9950102482116319,0.9984973703981969,0.9793662490788504
FFpp3,0.4961859789320741,0.5010878134596388,0.0071581961345740875,0.48644864006080535,0.7142857142857143,0.0035971223021582736
FFpp4,0.4970951343500363,0.6290571884266285,0.011420413990007138,0.6349309284663541,0.8,0.005751258087706686
StyleGAN,0.5255,0.6467813361200574,0.13174748398902103,0.6526919999999999,0.7741935483870968,0.072
VQGAN,0.518,0.658492380658571,0.10575139146567718,0.6792115000000001,0.7307692307692307,0.057
PNDM,0.502,0.5050855901962277,0.04780114722753346,0.515796,0.5434782608695652,0.025
DDPM,0.505,0.5533570502721383,0.058935361216730035,0.569983,0.5961538461538461,0.031
LDM,0.5065,0.5564492646316402,0.06445497630331753,0.575404,0.6181818181818182,0.034
DDIM,0.5025,0.524319295300576,0.049665711556829036,0.5315635000000001,0.5531914893617021,0.026
ProGAN,0.524,0.6390326117478964,0.12660550458715597,0.654712,0.7666666666666667,0.069
