swin_tiny_0506_FFpp1-FFpp2-FFpp3 model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.9805147058823529,0.9967873174438581,0.9804788213627993,0.9958663834328779,0.9801178203240059,0.9808400884303611
FFpp2,0.9830882352941176,0.9972751022195454,0.9831006612784717,0.996344597265017,0.9802197802197802,0.9859985261606485
FFpp3,0.9731202324736651,0.9948331639880488,0.9731884057971014,0.9929670057057802,0.9802919708029197,0.9661870503597122
FFpp4,0.5148874364560639,0.6939364793188554,0.10933333333333334,0.7313378162624945,0.7522935779816514,0.05895039539899353
StyleGAN,0.488,0.4427698315314714,0.0570902394106814,0.437008,0.36046511627906974,0.031
VQGAN,0.4945,0.4970551344533915,0.08007279344858963,0.513236,0.4444444444444444,0.044
PNDM,0.6245,0.7507962054534159,0.44738778513612953,0.7505360000000001,0.8467966573816156,0.304
DDPM,0.61,0.7494431748912583,0.41353383458646614,0.7510899999999998,0.8333333333333334,0.275
LDM,0.5255,0.594493890604229,0.1826012058570198,0.606867,0.6583850931677019,0.106
DDIM,0.6265,0.7650206373129944,0.45194424064563465,0.765711,0.8484848484848485,0.308
ProGAN,0.5,0.5034238098749406,0.0990990990990991,0.511131,0.5,0.055
