swin_tiny_3105_FFpp1 model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.9886029411764706,0.9978466324876143,0.9885142645424231,0.9970304245641334,0.9940387481371088,0.9830508474576272
FFpp2,0.5113970588235294,0.7123875152746999,0.05139186295503212,0.7311335316834912,0.8181818181818182,0.026529108327192335
FFpp3,0.4921903378132946,0.4157074902302559,0.0,0.38533176393588,0.0,0.0
FFpp4,0.5079883805374001,0.7495305262000822,0.060984060984060985,0.7783982872812488,0.8461538461538461,0.03163191948238677
StyleGAN,0.5135,0.9699260444737153,0.05258033106134372,0.9655360000000001,1.0,0.027
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.5185,0.946029089045707,0.07135969141755062,0.9331999999999998,1.0,0.037
DDPM,0.5,0.832104062817804,0.0,0.8297340000000001,0.0,0.0
LDM,0.6275,0.9864866228923854,0.4063745019920319,0.9826689999999999,1.0,0.255
DDIM,0.5005,0.8752572898456158,0.001998001998001998,0.859658,1.0,0.001
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
