vgg16_empty_0506_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5371323529411764,0.584785067665097,0.2818026240730177,0.6294359131289026,0.6237373737373737,0.18201915991156964
FFpp2,0.5246323529411765,0.5421474388352817,0.24781849912739964,0.5457593057059642,0.5883977900552486,0.156963890935888
FFpp3,0.4787504540501271,0.4622682924053083,0.12659768715763847,0.4460795853412648,0.41106719367588934,0.07482014388489208
FFpp4,0.5225127087872186,0.5689841298811843,0.254957507082153,0.5863477243130427,0.6016042780748663,0.16175413371675054
StyleGAN,0.5105,0.6520190484846251,0.059558117195004805,0.682527,0.7560975609756098,0.031
VQGAN,0.9925,0.9997976685880661,0.9925187032418953,0.99979,0.9900497512437811,0.995
PNDM,0.562,0.8640566337700593,0.23426573426573427,0.8786250000000001,0.9305555555555556,0.134
DDPM,0.52,0.7581206989649316,0.09433962264150944,0.790164,0.8333333333333334,0.05
LDM,0.516,0.6972260311590921,0.07984790874524715,0.725795,0.8076923076923077,0.042
DDIM,0.562,0.8605323642600183,0.23426573426573427,0.874017,0.9305555555555556,0.134
ProGAN,0.9905,0.999696487994343,0.9905047476261869,0.999671,0.99000999000999,0.991
