vgg16_finetune_0406_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5261029411764706,0.5468781006358507,0.3331608898085877,0.5543828338265054,0.5590277777777778,0.23728813559322035
FFpp2,0.5613970588235294,0.5843974075243028,0.41202562838836865,0.581949468828514,0.6220238095238095,0.30803242446573326
FFpp3,0.49654921903378135,0.5116052478722521,0.27129337539432175,0.5009389993507762,0.50390625,0.1856115107913669
FFpp4,0.5530137981118374,0.5785450058927833,0.4021369596891695,0.5939450391970602,0.6197604790419161,0.297627606038821
StyleGAN,0.5,0.6007706468418643,0.0,0.654585,0.0,0.0
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.5335,0.940833051167633,0.12558575445173384,0.9430759999999999,1.0,0.067
DDPM,0.5185,0.8870051463362201,0.07135969141755062,0.892095,1.0,0.037
LDM,0.5245,0.8776797625492737,0.09342230695900858,0.8739129999999999,1.0,0.049
DDIM,0.5345,0.9408340542034173,0.12909260991580918,0.941573,1.0,0.069
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
