vgg16_freeze_0406_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5102941176470588,0.49913555861778736,0.5675324675324676,0.5034594134595162,0.5072547881601858,0.6440677966101694
FFpp2,0.5106617647058823,0.4911204500265488,0.5679974034404414,0.4965973558478604,0.5075406032482599,0.6448047162859248
FFpp3,0.5212495459498728,0.5217948431600217,0.5829113924050633,0.52558839208897,0.5203389830508475,0.662589928057554
FFpp4,0.49963689179375453,0.48974666032227865,0.5557704706640877,0.4896686750006461,0.5037989479836353,0.6196980589503954
StyleGAN,0.5115,0.49156081593967194,0.5038090401218893,0.520937,0.5118679050567595,0.496
VQGAN,0.748,0.9121429369138608,0.7936117936117936,0.913242,0.6719833564493759,0.969
PNDM,0.698,0.7918738049036235,0.7421007685738685,0.8017770000000002,0.6475409836065574,0.869
DDPM,0.645,0.6649479568607428,0.682468694096601,0.703629,0.6173139158576052,0.763
LDM,0.659,0.7578848899133475,0.6987632508833922,0.749802,0.6257911392405063,0.791
DDIM,0.7245,0.834148441304805,0.7699373695198329,0.8418889999999999,0.6609318996415771,0.922
ProGAN,0.7405,0.9070385040839898,0.7861557478368356,0.903236,0.6685353889278206,0.954
