vit_base_empty_0606_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5011029411764706,0.4851226863988283,0.0014716703458425313,0.47718441536534295,0.5,0.0007369196757553427
FFpp2,0.5014705882352941,0.49596493141405396,0.0029411764705882353,0.4869795538581232,0.6666666666666666,0.0014738393515106854
FFpp3,0.49582273883036687,0.479194588441144,0.00430416068866571,0.4646257462115414,0.75,0.002158273381294964
FFpp4,0.49491648511256353,0.4873172663750799,0.0014357501794687725,0.47812422696371654,0.5,0.0007189072609633358
StyleGAN,0.498,0.3921973595428785,0.0,0.3420725,0.0,0.0
VQGAN,0.997,0.9999870448237616,0.997002997002997,0.999987,0.9960079840319361,0.998
PNDM,0.528,0.7830658963524365,0.11278195488721804,0.763668,0.9375,0.06
DDPM,0.503,0.6342178302282194,0.01972386587771203,0.6436679999999999,0.7142857142857143,0.01
LDM,0.5035,0.6278695538213823,0.02167487684729064,0.612318,0.7333333333333333,0.011
DDIM,0.523,0.7491573834938621,0.09487666034155598,0.734344,0.9259259259259259,0.05
ProGAN,0.9955,0.9999562273595172,0.9954977488744372,0.9999560000000001,0.995995995995996,0.995
