vit_base_finetune2805_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5007352941176471,0.5112378090713543,0.0,0.5034558991690595,0.0,0.0
FFpp2,0.5007352941176471,0.5342744814023086,0.0,0.5383968671992889,0.0,0.0
FFpp3,0.4950962586269524,0.527425568087939,0.0014367816091954023,0.517016526177444,0.5,0.0007194244604316547
FFpp4,0.49491648511256353,0.5719435157680837,0.0014357501794687725,0.56949559926432,0.5,0.0007189072609633358
StyleGAN,0.5,0.7409582884158494,0.0,0.7722895,0.0,0.0
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.5015,0.8036104171737932,0.005982053838484547,0.7842225,1.0,0.003
DDPM,0.5015,0.7234406513505178,0.005982053838484547,0.719303,1.0,0.003
LDM,0.504,0.7400321280501253,0.015873015873015872,0.7108559999999999,1.0,0.008
DDIM,0.501,0.7752122025038891,0.003992015968063872,0.7585185000000001,1.0,0.002
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
