vit_base_freeze_0606_ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5194852941176471,0.5675271180869245,0.1518494484101233,0.5713636149829882,0.6358695652173914,0.08621960206337509
FFpp2,0.5106617647058823,0.5505606752116694,0.12261041529334213,0.5691090624900316,0.58125,0.06853352984524687
FFpp3,0.5005448601525608,0.5437262343042841,0.10656270305393112,0.5521537868751221,0.5503355704697986,0.058992805755395686
FFpp4,0.5098039215686274,0.5756537597504194,0.13793103448275862,0.5834773697171789,0.6171428571428571,0.07764198418404025
StyleGAN,0.537,0.6241279610798528,0.2434640522875817,0.6547709999999999,0.6651785714285714,0.149
VQGAN,0.9335,0.9826735883954087,0.9340604858701042,0.982683,0.9262536873156342,0.942
PNDM,0.692,0.8158012148099434,0.5984354628422425,0.804448,0.8595505617977528,0.459
DDPM,0.658,0.7783179864606848,0.5334242837653479,0.780238,0.8390557939914163,0.391
LDM,0.6985,0.831423061967759,0.6102133160956691,0.8306500000000001,0.8628884826325411,0.472
DDIM,0.7215,0.8428557521087081,0.650345260514752,0.8343590000000001,0.8735244519392917,0.518
ProGAN,0.937,0.9841715249049311,0.9377470355731226,0.983383,0.9267578125,0.949
