0106_swin-ProGAN_swin-FFpp1 testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
FFpp1,0.986764705882353,0.9971813452035068,0.9866369710467706,0.9957287854449984,0.994016454749439,0.9793662490788504
FFpp2,0.5827205882352942,0.6298898200955443,0.44983034415899176,0.6467819101628414,0.6572237960339944,0.341930729550479
FFpp3,0.5266981474754813,0.5667467897843929,0.3609612555174105,0.5645882706893912,0.5670261941448382,0.2647482014388489
FFpp4,0.5976761074800291,0.6743657046499681,0.48703703703703705,0.6948890071537338,0.6840052015604682,0.37814521926671457
StyleGAN,0.892,0.9992383107088989,0.8789237668161435,0.998672,1.0,0.784
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.812,0.9972423947957054,0.7684729064039408,0.996704,1.0,0.624
DDPM,0.5195,0.8345015774864821,0.07684918347742556,0.8270899999999999,0.975609756097561,0.04
LDM,0.917,0.9990981453602165,0.9094874591057798,0.998889,1.0,0.834
DDIM,0.537,0.8663970784118267,0.1378026070763501,0.853151,1.0,0.074
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
