0206_swin-FFpp2_swin-FFpp1_swin-FFpp4 testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
FFpp1,0.986764705882353,0.9958391641282277,0.9866369710467706,0.995111351644769,0.994016454749439,0.9793662490788504
FFpp2,0.9889705882352942,0.9969786991215329,0.9888392857142857,0.9951681209521457,0.9984973703981969,0.9793662490788504
FFpp3,0.5325099891027969,0.5806603215908679,0.6765518974616738,0.6052249323065393,0.5198918501351874,0.9683453237410072
FFpp4,0.9404502541757443,0.9741950564328993,0.9410496046010065,0.9772892818469852,0.9410496046010065,0.9410496046010065
StyleGAN,0.551,0.6400116726558722,0.2453781512605042,0.6412630000000001,0.7684210526315789,0.146
VQGAN,0.5545,0.6409906895897229,0.2785425101214575,0.648679,0.7319148936170212,0.172
PNDM,0.5105,0.5708109219232921,0.09769585253456221,0.578709,0.6235294117647059,0.053
DDPM,0.512,0.5912472960452484,0.13780918727915195,0.6256229999999998,0.5909090909090909,0.078
LDM,0.514,0.5500258693747585,0.1678082191780822,0.5684529999999999,0.5833333333333334,0.098
DDIM,0.5125,0.6066824896645533,0.11121239744758432,0.62514,0.6288659793814433,0.061
ProGAN,0.5595,0.653537675475731,0.28894269572235676,0.649734,0.7489539748953975,0.179
