swin_tiny_0506_FFpp3-ProGAN model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5172794117647059,0.6924206371114592,0.06281227694503926,0.668087971881351,1.0,0.032424465733235076
FFpp2,0.5125,0.7397099319047413,0.0446685878962536,0.7498820009396672,1.0,0.022844509948415623
FFpp3,0.9854703959317108,0.9968553384011584,0.9854014598540146,0.9953071145431418,1.0,0.9712230215827338
FFpp4,0.49600580973129993,0.5099976795519114,0.00430416068866571,0.5263039358458342,1.0,0.002156721782890007
StyleGAN,0.5695,0.9769629462205645,0.2440737489025461,0.974194,1.0,0.139
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.516,0.9813397434770945,0.06201550387596899,0.9804050000000001,1.0,0.032
DDPM,0.5,0.905320503129018,0.0,0.9173819999999999,0.0,0.0
LDM,0.815,0.9988806584444471,0.7730061349693251,0.998682,1.0,0.63
DDIM,0.5005,0.9342137145649259,0.001998001998001998,0.9376140000000001,1.0,0.001
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
