1NN_FFPP123_swin-FFpp3_swin-FFpp2_swin-FFpp1 testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
StyleGAN,0.5225,0.5858173523838124,0.13260672116257946,0.5799295,0.7227722772277227,0.073
FFpp1,0.9863970588235295,0.9963250575664384,0.9862708719851577,0.9964278589158361,0.9932735426008968,0.9793662490788504
FFpp2,0.986764705882353,0.9953076699320378,0.9866468842729971,0.9943349637838853,0.9932785660941,0.9801031687546058
FFpp3,0.9829277152197603,0.9956935728480969,0.9829153035259905,0.9958486622294241,0.9933872152828802,0.9726618705035971
FFpp4,0.5079883805374001,0.6635958367289106,0.06228373702422145,0.6747770095251255,0.8333333333333334,0.03235082674335011
VQGAN,0.5175,0.5966211864273867,0.1154903758020165,0.5975750000000001,0.6923076923076923,0.063
PNDM,0.5395,0.6442209131061358,0.18854625550660792,0.6312445,0.7925925925925926,0.107
DDPM,0.5305,0.6265092122852347,0.1593554162936437,0.6244315,0.7606837606837606,0.089
LDM,0.5245,0.6101783321558356,0.13936651583710408,0.6115170000000001,0.7333333333333333,0.077
DDIM,0.552,0.6841521888609376,0.22758620689655173,0.680562,0.825,0.132
ProGAN,0.523,0.585750723102058,0.13430127041742287,0.581659,0.7254901960784313,0.074
