2048TESTKNN_FFPP123_swin-FFpp3_swin-FFpp2_swin-FFpp1 testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
FFpp1,0.9886029411764706,0.9916534723130972,0.9885142645424231,0.9929016739376435,0.9940387481371088,0.9830508474576272
FFpp2,0.9871323529411765,0.9909222568567153,0.987012987012987,0.9921242047566191,0.9940209267563528,0.9801031687546058
FFpp3,0.9836541954231747,0.9875471875652827,0.9836423118865867,0.9883836437819663,0.994121969140338,0.9733812949640288
FFpp4,0.5083514887436456,0.5340444831767389,0.062326869806094184,0.5281207194558035,0.8490566037735849,0.03235082674335011
StyleGAN,0.532,0.543449150539002,0.19725557461406518,0.5564285,0.6927710843373494,0.115
VQGAN,0.534,0.5453875583224358,0.20341880341880342,0.5520619999999999,0.7,0.119
PNDM,0.5405,0.5604693280462079,0.2231614539306847,0.5706725,0.7213114754098361,0.132
DDPM,0.5305,0.5465524426991082,0.19260533104041272,0.552366,0.6871165644171779,0.112
LDM,0.5315,0.5511941141949215,0.19570815450643778,0.5684449999999999,0.6909090909090909,0.114
DDIM,0.554,0.5916929767845549,0.2628099173553719,0.6072265,0.7571428571428571,0.159
ProGAN,0.5305,0.5436462742532396,0.19260533104041272,0.5456269999999999,0.6871165644171779,0.112
