30_1024_TESTKNN_FFPP123_swin-FFpp3_swin-FFpp2_swin-FFpp1 testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
FFpp1,0.9878676470588236,0.9927084169749201,0.9877732493516117,0.9933082503104741,0.9932935916542474,0.9823139277818718
FFpp2,0.986764705882353,0.9928285341135332,0.9866468842729971,0.993532353909594,0.9932785660941,0.9801031687546058
FFpp3,0.982564475118053,0.9887185680214057,0.9825454545454545,0.9887649968066632,0.9933823529411765,0.9719424460431655
FFpp4,0.5087145969498911,0.5495502395705011,0.06496199032480995,0.5465237959358269,0.8392857142857143,0.03378864126527678
StyleGAN,0.52,0.5527480161090338,0.13043478260869565,0.5607774999999999,0.6923076923076923,0.072
VQGAN,0.5195,0.5531866633408196,0.128739800543971,0.5565195000000001,0.6893203883495146,0.071
PNDM,0.5365,0.5804531501210597,0.18469656992084432,0.5842809999999999,0.7664233576642335,0.105
DDPM,0.53,0.5584895321309167,0.16370106761565836,0.5521130000000001,0.7419354838709677,0.092
LDM,0.525,0.5689253163971498,0.14721723518850988,0.586157,0.7192982456140351,0.082
DDIM,0.5465,0.617293263253582,0.21607605877268798,0.6263935,0.7961783439490446,0.125
ProGAN,0.523,0.5519676466834954,0.14054054054054055,0.548564,0.7090909090909091,0.078
