3105_swin-ProGAN_swin-FFpp1 testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
FFpp1,0.924264705882353,0.9949067138593303,0.9282229965156794,0.9930963115629349,0.8803701255783212,0.9815770081061165
FFpp2,0.5727941176470588,0.6276528815539859,0.3928944618599791,0.6456535525962226,0.6750448833034112,0.27708179808400885
FFpp3,0.5223392662549946,0.5540195907051442,0.2802408319649699,0.5537288144539394,0.585812356979405,0.1841726618705036
FFpp4,0.579520697167756,0.6672889282632897,0.4169184290030212,0.6928451585578183,0.6957983193277311,0.297627606038821
StyleGAN,0.8845,0.9993782122333521,0.8694177501413228,0.999367,1.0,0.769
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.791,0.9952265218385005,0.7357774968394437,0.994167,1.0,0.582
DDPM,0.5055,0.8132906572018836,0.021760633036597428,0.8035535,1.0,0.011
LDM,0.9125,0.9979393718244731,0.9041095890410958,0.997608,1.0,0.825
DDIM,0.5135,0.8572597601835007,0.05258033106134372,0.8424619999999998,1.0,0.027
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
