COSINENOSCALE_10NN_FFPP123_swin-FFpp3_swin-FFpp2_swin-FFpp1 testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
StyleGAN,0.5305,0.5346881219001489,0.1682905225863596,0.539017,0.7364341085271318,0.095
FFpp1,0.9871323529411765,0.9906234031223405,0.987012987012987,0.9923050555501189,0.9940209267563528,0.9801031687546058
FFpp2,0.986764705882353,0.9895042743516962,0.9866369710467706,0.9911477726697415,0.994016454749439,0.9793662490788504
FFpp3,0.9829277152197603,0.9855358447464677,0.9829028737722808,0.9868065049061265,0.9941133186166299,0.9719424460431655
FFpp4,0.5072621641249092,0.5292133171949297,0.05829285218598196,0.5245227547597938,0.84,0.0301941049604601
VQGAN,0.526,0.5309834148204724,0.15357142857142858,0.5336465,0.7166666666666667,0.086
PNDM,0.533,0.5531921331383284,0.1763668430335097,0.558407,0.746268656716418,0.1
DDPM,0.5305,0.5409404711480249,0.1682905225863596,0.5433095,0.7364341085271318,0.095
LDM,0.5265,0.537831029488691,0.15521855486173058,0.545487,0.71900826446281,0.087
DDIM,0.5445,0.5797222619356718,0.212618841832325,0.5893835,0.7834394904458599,0.123
ProGAN,0.527,0.5330710034062157,0.1568627450980392,0.5300009999999999,0.7213114754098361,0.088
