COSINESCALE_10NN_FFPP123_swin-FFpp3_swin-FFpp2_swin-FFpp1 testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
StyleGAN,0.5585,0.5685887600281115,0.324407039020658,0.5919005,0.6905537459283387,0.212
FFpp1,0.9852941176470589,0.9899131057957503,0.9852941176470589,0.9922388246915129,0.983125458547322,0.9874723655121592
FFpp2,0.9849264705882353,0.9894930795288913,0.9849209268113277,0.9918025120148184,0.9831130690161527,0.9867354458364038
FFpp3,0.9789320741009807,0.9850949444632955,0.9790462427745664,0.9869059997783138,0.9833091436865021,0.9748201438848921
FFpp4,0.5192447349310094,0.5470552955017627,0.1196808510638298,0.5450192596468335,0.7964601769911505,0.06470165348670022
VQGAN,0.571,0.5724030613427317,0.35585585585585583,0.582166,0.713855421686747,0.237
PNDM,0.56,0.5796624972594384,0.3282442748091603,0.5884425000000001,0.6935483870967742,0.215
DDPM,0.55,0.5596160775182305,0.3023255813953488,0.5652699999999999,0.6724137931034483,0.195
LDM,0.5465,0.5568576235424053,0.2930631332813718,0.5685345,0.6643109540636042,0.188
DDIM,0.5835,0.6101906265162101,0.38614591009579957,0.626909,0.7338935574229691,0.262
ProGAN,0.555,0.5591151187390798,0.3153846153846154,0.570371,0.6833333333333333,0.205
