swin_tiny_2704_ProGAN-DDIM model testing on...
testset,accuracy,avg precision,f1 score,roc score,precision,recall
FFpp1,0.5183823529411765,0.5401389401712096,0.6274175199089875,0.543987832985779,0.5108846688281612,0.812822402358143
FFpp2,0.5275735294117647,0.5426833162052185,0.6371081615362891,0.5462767173931966,0.5164835164835165,0.8312453942520265
FFpp3,0.5125317835088994,0.5288395332041554,0.6219718309859155,0.5186567400518324,0.5111111111111111,0.7942446043165468
FFpp4,0.5432098765432098,0.5557399826412628,0.654015401540154,0.5659857178497341,0.5296213808463252,0.8547807332854062
StyleGAN,0.877,0.9993718034219621,0.8597491448118586,0.99908,1.0,0.754
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,1.0,1.0,1.0,1.0,1.0,1.0
DDPM,1.0,1.0,1.0,1.0,1.0,1.0
LDM,0.883,0.9991303151375788,0.8674971687429218,0.998697,1.0,0.766
DDIM,1.0,1.0,1.0,1.0,1.0,1.0
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
