DistanceCosineSCALE_10NN_FFPP123_swin-FFpp3_swin-FFpp2_swin-FFpp1 testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
StyleGAN,0.5635,0.5711450490304879,0.3470456245325355,0.592751,0.6884272997032641,0.232
FFpp1,0.9849264705882353,0.9899434913079408,0.9849320102903344,0.9922509895430937,0.9824046920821115,0.9874723655121592
FFpp2,0.9845588235294118,0.9895215727704412,0.9845588235294118,0.9918081889455561,0.9823917828319882,0.9867354458364038
FFpp3,0.9796585543043952,0.9851483015280873,0.9797979797979798,0.9869168201755543,0.9826338639652678,0.9769784172661871
FFpp4,0.5203340595497459,0.5484775805790892,0.12458581842279655,0.545023479205225,0.7966101694915254,0.06757728253055356
VQGAN,0.5735,0.573942824719379,0.3714075165806927,0.5821055,0.7058823529411765,0.252
PNDM,0.5615,0.5815633996899834,0.3420855213803451,0.5886115000000001,0.6846846846846847,0.228
DDPM,0.5515,0.5618314072035959,0.31683168316831684,0.5656769999999999,0.6645367412140575,0.208
LDM,0.549,0.5585768593635982,0.3103975535168196,0.568858,0.6590909090909091,0.203
DDIM,0.5865,0.6132501945759484,0.4020245842371656,0.6276615,0.7258485639686684,0.278
ProGAN,0.5555,0.5603364811038829,0.3270249810749432,0.5702324999999999,0.6728971962616822,0.216
