Feat_space_8NN_FFPP123_swin-FFpp3_swin-FFpp2_swin-FFpp1 testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
FFpp1,0.9893382352941177,0.9863850090515204,0.9892632358385783,0.9893276405432337,0.9940476190476191,0.9845246868091379
FFpp2,0.9875,0.9845387770027579,0.9873887240356083,0.9874853413538452,0.9940253920836445,0.9808400884303611
FFpp3,0.984017435524882,0.9814557729571426,0.9840116279069767,0.984115656850895,0.9941262848751835,0.9741007194244604
FFpp4,0.5087145969498911,0.5165510515519678,0.06366782006920416,0.5136001641408214,0.8518518518518519,0.03306973400431344
StyleGAN,0.53,0.520625,0.1896551724137931,0.53,0.6875,0.11
VQGAN,0.5325,0.5226515151515152,0.19742489270386265,0.5325,0.696969696969697,0.115
PNDM,0.5525,0.5396951219512195,0.2572614107883817,0.5525,0.7560975609756098,0.155
DDPM,0.5385,0.5276242937853107,0.21580288870008496,0.5385,0.7175141242937854,0.127
LDM,0.5425,0.5310135135135136,0.22784810126582278,0.5425,0.7297297297297297,0.135
DDIM,0.5685,0.554048523206751,0.30234438156831045,0.5685,0.7890295358649789,0.187
ProGAN,0.5295,0.5202232704402516,0.18809318377911993,0.5295,0.6855345911949685,0.109
