Feat_space_NN_FFPP123_swin-FFpp3_swin-FFpp2_swin-FFpp1 testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
FFpp1,0.9731617647058823,0.9585521610226528,0.9732110091743119,0.9731705550037819,0.9692982456140351,0.9771554900515844
FFpp2,0.9738970588235294,0.9592893190469847,0.973964063072974,0.9739074746795372,0.9693430656934306,0.9786293294030951
FFpp3,0.9716672720668362,0.9578706079169899,0.9720028715003589,0.9716431696902199,0.9699140401146131,0.9741007194244604
FFpp4,0.5192447349310094,0.5220698672113526,0.14137483787289234,0.5237732557004915,0.7218543046357616,0.07836089144500359
StyleGAN,0.5135,0.5079569536423841,0.15464813205907907,0.5135,0.5894039735099338,0.089
VQGAN,0.5145,0.508624183006536,0.15784908933217692,0.5145,0.5947712418300654,0.091
PNDM,0.565,0.5491338582677165,0.3062200956937799,0.565,0.7559055118110236,0.192
DDPM,0.537,0.5254141414141414,0.2270450751252087,0.537,0.6868686868686869,0.136
LDM,0.529,0.5191208791208791,0.20304568527918782,0.5289999999999999,0.6593406593406593,0.12
DDIM,0.5635,0.5478147410358565,0.302158273381295,0.5634999999999999,0.7529880478087649,0.189
ProGAN,0.5225,0.5142455621301776,0.18306244653550044,0.5225,0.6331360946745562,0.107
