META_FFPP123_swin-FFpp3_swin-FFpp2_swin-FFpp1 testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
FFpp1,0.9863970588235295,0.9940354629076315,0.9862810530218762,0.9959099065685332,0.9925373134328358,0.9801031687546058
FFpp2,0.9863970588235295,0.986629496897681,0.9862810530218762,0.9917516899682145,0.9925373134328358,0.9801031687546058
FFpp3,0.9829277152197603,0.9933260641862787,0.9829277152197603,0.9959331141103258,0.9926632428466617,0.9733812949640288
FFpp4,0.5079883805374001,0.6632447636414066,0.0635798203178991,0.6742247748206291,0.8214285714285714,0.03306973400431344
StyleGAN,0.5225,0.5843314926778175,0.13260672116257946,0.579264,0.7227722772277227,0.073
VQGAN,0.5185,0.5944940247179469,0.11893870082342177,0.597032,0.6989247311827957,0.065
PNDM,0.5405,0.6486326130453044,0.1917326297273527,0.631761,0.7956204379562044,0.109
DDPM,0.5325,0.6293041743052664,0.16592328278322926,0.624594,0.768595041322314,0.093
LDM,0.5245,0.6128274561624165,0.13936651583710408,0.611723,0.7333333333333333,0.077
DDIM,0.552,0.6880890013681851,0.22758620689655173,0.681065,0.825,0.132
ProGAN,0.523,0.5831254532902557,0.13430127041742287,0.581174,0.7254901960784313,0.074
