ManhatSCALE_10NN_FFPP123_swin-FFpp3_swin-FFpp2_swin-FFpp1 testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
StyleGAN,0.5335,0.5438734700075466,0.19499568593615185,0.5588415,0.710691823899371,0.113
FFpp1,0.9882352941176471,0.9916584942839544,0.9881393624907339,0.9929168124196106,0.994034302759135,0.9823139277818718
FFpp2,0.9871323529411765,0.9909355561396509,0.987012987012987,0.9921447498392887,0.9940209267563528,0.9801031687546058
FFpp3,0.9829277152197603,0.9872104025946316,0.9829028737722808,0.9880402941036752,0.9941133186166299,0.9719424460431655
FFpp4,0.5072621641249092,0.5334257372066428,0.05829285218598196,0.5273530235509377,0.84,0.0301941049604601
VQGAN,0.533,0.5454718096264548,0.19343696027633853,0.5547975,0.7088607594936709,0.112
PNDM,0.539,0.5601686862023378,0.21196581196581196,0.573566,0.7294117647058823,0.124
DDPM,0.533,0.5463516539253734,0.19343696027633853,0.5539555,0.7088607594936709,0.112
LDM,0.53,0.5485890991379091,0.1840277777777778,0.5649109999999999,0.6973684210526315,0.106
DDIM,0.552,0.5898924742629985,0.2508361204013378,0.6067395,0.7653061224489796,0.15
ProGAN,0.531,0.543332157536186,0.18717504332755633,0.5457584999999999,0.7012987012987013,0.108
