RE30_1024_TESTKNN_FFPP123_swin-FFpp3_swin-FFpp2_swin-FFpp1 testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
StyleGAN,0.541,0.5469386860713356,0.25365853658536586,0.5643245000000001,0.6782608695652174,0.156
FFpp1,0.986764705882353,0.9892214895202092,0.9866765358993338,0.9913359223741898,0.9910780669144982,0.9823139277818718
FFpp2,0.9871323529411765,0.9885076796693927,0.9870514243433223,0.9906119785401205,0.9910846953937593,0.9830508474576272
FFpp3,0.9818379949146385,0.9839016194436239,0.9818445896877269,0.9856764331748102,0.9912023460410557,0.9726618705035971
FFpp4,0.5090777051561365,0.5234980246316373,0.07015130674002751,0.5193353351621603,0.8095238095238095,0.03666427030913012
VQGAN,0.554,0.5490136855963407,0.2898089171974522,0.558649,0.7109375,0.182
PNDM,0.5325,0.5310620159765788,0.2291838417147568,0.5459734999999999,0.6525821596244131,0.139
DDPM,0.5315,0.5315783371194801,0.22625928984310487,0.5418205,0.6492890995260664,0.137
LDM,0.533,0.5334799496908352,0.23064250411861614,0.5482929999999999,0.6542056074766355,0.14
DDIM,0.5565,0.5638543382784271,0.2965900079302141,0.5858329999999999,0.7164750957854407,0.187
ProGAN,0.5365,0.5391617814005314,0.24078624078624078,0.5494325,0.665158371040724,0.147
