SWINmetamodel0806_swin-FFpp3_swin-ProGAN testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
FFpp1,0.5272058823529412,0.5796305665489693,0.27752808988764044,0.5950607458621933,0.5839243498817966,0.18201915991156964
FFpp2,0.5779411764705882,0.6486627672069818,0.40145985401459855,0.6695193694173469,0.6862745098039216,0.28371407516580693
FFpp3,0.9262622593534326,0.9512155517417886,0.9306930693069307,0.9639416859762373,0.8856400259909032,0.9805755395683453
FFpp4,0.5729847494553377,0.6584960518541615,0.39938712972420837,0.6830283559598361,0.689594356261023,0.28109273903666426
StyleGAN,0.881,0.9844269457220248,0.8661417322834646,0.982525,0.9897172236503856,0.77
VQGAN,0.996,1.0,0.9960159362549801,1.0,0.9920634920634921,1.0
PNDM,0.802,0.9669393144263513,0.7555555555555555,0.9607790000000002,0.9870967741935484,0.612
DDPM,0.5285,0.6949075500430892,0.1211556383970177,0.6890409999999999,0.8904109589041096,0.065
LDM,0.9115,0.9854160334463536,0.9037520391517129,0.981313,0.9904648390941597,0.831
DDIM,0.5525,0.7677451509082289,0.2016057091882248,0.7540640000000001,0.9338842975206612,0.113
ProGAN,0.996,1.0,0.9960159362549801,1.0,0.9920634920634921,1.0
