SWINmetamodel0806_swin-FFpp3_swin-ProGAN_convnext-ProGAN testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
FFpp1,0.5088235294117647,0.6009640566996395,0.030478955007256895,0.6104149511973188,1.0,0.015475313190862197
FFpp2,0.5117647058823529,0.6787482651124925,0.04184704184704185,0.695008788429442,1.0,0.021370670596904937
FFpp3,0.9861968761351253,0.9956246530203497,0.9861415025528811,0.9938946568350602,1.0,0.9726618705035971
FFpp4,0.49564270152505446,0.6495323899187009,0.002871500358937545,0.6760180871370455,1.0,0.0014378145219266715
StyleGAN,0.497,0.8944190737164331,0.0039603960396039604,0.944385,0.2,0.002
VQGAN,0.996,1.0,0.9960159362549801,1.0,0.9920634920634921,1.0
PNDM,0.995,0.9996111875683136,0.9950149551345963,0.999669,0.9920477137176938,0.998
DDPM,0.99,0.9979163965673907,0.9899799599198397,0.998949,0.9919678714859438,0.988
LDM,0.973,0.9984700538898775,0.9724770642201835,0.998448,0.9916839916839917,0.954
DDIM,0.996,0.9985842316527551,0.9960159362549801,0.999228,0.9920634920634921,1.0
ProGAN,0.996,1.0,0.9960159362549801,1.0,0.9920634920634921,1.0
