SWINmetamodel0806_swin-ProGAN_convnext-ProGAN testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
FFpp1,0.5011029411764706,0.523077873975628,0.0,0.502300238268893,0.0,0.0
FFpp2,0.5011029411764706,0.497959634586506,0.0,0.4419149963424346,0.0,0.0
FFpp3,0.4950962586269524,0.5239925399570332,0.0,0.4955889726956512,0.0,0.0
FFpp4,0.49491648511256353,0.47799467568483034,0.0,0.41067326746251054,0.0,0.0
StyleGAN,0.5,0.3400486985079405,0.0,0.083043,0.0,0.0
VQGAN,1.0,1.0,1.0,1.0,1.0,1.0
PNDM,0.999,1.0,0.998998998998999,1.0,1.0,0.998
DDPM,0.994,1.0,0.993963782696177,1.0,1.0,0.988
LDM,0.976,1.0,0.9754098360655737,1.0,1.0,0.952
DDIM,1.0,1.0,1.0,1.0,1.0,1.0
ProGAN,1.0,1.0,1.0,1.0,1.0,1.0
