VOTING_FFPP123_swin-FFpp3_swin-FFpp2_swin-FFpp1 testing on...
testset,accuracy,avg precision,f1 score,roc score,recall,precision
FFpp1,0.5327205882352941,0.993979921872012,0.12041522491349481,0.9958974713869175,0.9886363636363636,0.06411201179071481
FFpp2,0.5205882352941177,0.9921382990424837,0.0764872521246459,0.9937386157263958,0.9818181818181818,0.0397936624907885
FFpp3,0.49691245913548854,0.9899507498063197,0.008589835361488905,0.995211050528616,0.8571428571428571,0.004316546762589928
FFpp4,0.49564270152505446,0.6637132167528326,0.004301075268817204,0.6747754271907288,0.75,0.002156721782890007
StyleGAN,0.5,0.585984019050479,0.001996007984031936,0.5799289999999999,0.5,0.001
VQGAN,0.4995,0.5961378530940535,0.0,0.597573,0.0,0.0
PNDM,0.5025,0.6440610174462402,0.011916583912611719,0.6312409999999999,0.8571428571428571,0.006
DDPM,0.5015,0.6260195547205771,0.007960199004975124,0.6244270000000001,0.8,0.004
LDM,0.501,0.6099008790533826,0.00597609561752988,0.6115139999999999,0.75,0.003
DDIM,0.502,0.6834577524223147,0.009940357852882704,0.6805540000000001,0.8333333333333334,0.005
ProGAN,0.5,0.5848106437369787,0.001996007984031936,0.581655,0.5,0.001
